number,type,gu,area,room,lat,long
739,다가구,강북구,342.63,7,37.62897,127.01986
740,다가구,서대문구,285.31,6,37.5997107,126.9402029
741,다가구,중랑구,532.82,10,37.606697,127.0883377
742,다가구,중랑구,362.16,8,37.6043235,127.1080037
743,다가구,양천구,594.12,16,37.5349524,126.8430401
744,다가구,도봉구,590.52,12,37.6884829,127.0504211
745,다가구,도봉구,597.17,11,37.6884829,127.0504211
746,다가구,도봉구,592.68,12,37.6884829,127.0504211
747,다가구,양천구,421.81,10,37.535345,126.8435355
748,다가구,광진구,566,14,37.5471872,127.0727996
749,다가구,광진구,566,14,37.5471872,127.0727996
750,다가구,마포구,559.32,14,37.5628083,126.9094968
751,다가구,서대문구,375.46,8,37.5908525,126.9440397
752,다가구,동대문구,536.81,16,37.5877008,127.0398361
753,다가구,동대문구,378.86,13,37.5877008,127.0398361
754,다가구,도봉구,408.52,8,37.6465328,127.0484626
755,다가구,성북구,435.07,8,37.6239303,127.0635492
756,다가구,성북구,550.71,12,37.6239303,127.0635492
757,다가구,서대문구,341.88,7,37.5661281,126.9364622
758,다가구,성북구,597.68,12,37.6202163,127.0721425
759,다가구,성북구,471.84,8,37.6202163,127.0721425
760,다가구,성북구,478.4,8,37.6202163,127.0721425
761,다가구,강서구,411.02,8,37.5841132,126.8249574
762,다가구,강서구,435.82,8,37.5841132,126.8249574
763,다가구,강서구,565.87,12,37.5841132,126.8249574
764,다가구,서대문구,591.19,11,37.5850811,126.9341809
765,다가구,서대문구,497.75,10,37.5876848,126.9251246
766,다가구,서대문구,450.39,10,37.5876848,126.9251246
767,다가구,금천구,530.65,10,37.46048,126.90446
768,다가구,서대문구,401.45,8,37.5997107,126.9402029
769,다가구,서대문구,408.48,8,37.5997107,126.9402029
770,다가구,서대문구,397.72,8,37.5997107,126.9402029
771,다가구,은평구,536.8,10,37.632086,126.9274475
772,다가구,중랑구,420.67,8,37.6149383,127.0826773
773,다가구,광진구,243.73,6,37.5678051,127.0907821
774,다가구,중랑구,430.1,10,37.624319,127.0884352
775,다가구,종로구,500,30,37.57692,127.02283
776,다가구,중랑구,446.46,10,37.6160689,127.0865669
777,다가구,성북구,378.76,8,37.6156498,127.0142166
778,다가구,성북구,378.76,8,37.6156498,127.0142166
779,다가구,구로구,447.8,8,37.5046843,126.8474009
780,다가구,서대문구,455.62,10,37.589635,126.9281963
781,다가구,은평구,340.79,7,37.61909,126.92992
782,다가구,서대문구,374.1,7,37.5902196,126.9313421
783,다가구,서대문구,397.98,7,37.5880052,126.9270922
784,다가구,구로구,536.27,11,37.5010668,126.8566512
785,다가구,구로구,406.94,8,37.5008887,126.8589722
786,다가구,구로구,508.95,10,37.4990335,126.8585023
787,다가구,서대문구,388.36,8,37.58402,126.94035
788,다가구,서대문구,356,10,37.5871465,126.9340507
789,다가구,중랑구,448,11,37.5996322,127.1095106
790,다가구,구로구,593.6,11,37.5010668,126.8566512
791,다가구,강동구,482.72,10,37.5594089,127.144631
792,다가구,강동구,554.7,10,37.560141,127.1399859
793,다가구,서대문구,427.66,10,37.589635,126.9281963
794,다가구,은평구,317.49,6,37.5998135,126.9140957
